Timestamp,Temperature 2M,Cloud Cover,Cloud Cover Low,Cloud Cover Mid,Cloud Cover High,Shortwave Radiation,Direct Radiation,Diffuse Radiation,Wind Speed 10M,Precipitation
2026-09-13T04:00:00Z,20.0,100.0,7.0,17.0,100.0,0.0,0.0,0.0,6.2,0.0
2026-09-13T04:15:00Z,20.0,100.0,6.0,35.0,100.0,0.0,0.0,0.0,6.6,0.0
2026-09-13T04:30:00Z,20.2,100.0,2.0,55.0,100.0,0.0,0.0,0.0,6.3,0.0
2026-09-13T04:45:00Z,20.1,100.0,1.0,82.0,99.0,0.0,0.0,0.0,6.3,0.0
2026-09-13T05:00:00Z,20.0,100.0,1.0,100.0,96.0,0.0,0.0,0.0,6.0,0.0
2026-09-13T05:15:00Z,20.0,100.0,1.0,100.0,97.0,0.0,0.0,0.0,6.1,0.0
2026-09-13T05:30:00Z,20.2,100.0,1.0,100.0,98.0,0.0,0.0,0.0,5.1,0.0
2026-09-13T06:00:00Z,20.1,100.0,0.0,87.0,100.0,0.0,0.0,0.0,5.0,0.0
2026-09-13T06:15:00Z,19.9,100.0,0.0,89.0,100.0,0.0,0.0,0.0,5.8,0.0
2026-09-13T06:30:00Z,19.6,100.0,0.0,93.0,100.0,0.0,0.0,0.0,2.9,0.0
2026-09-13T06:45:00Z,19.5,93.0,0.0,80.0,92.0,0.0,0.0,0.0,1.0,0.0
2026-09-13T07:00:00Z,19.5,100.0,2.0,100.0,98.0,0.0,0.0,0.0,1.3,0.0
2026-09-13T07:15:00Z,19.4,100.0,7.0,100.0,100.0,0.0,0.0,0.0,4.7,0.0
2026-09-13T07:30:00Z,20.1,100.0,14.0,100.0,100.0,0.0,0.0,0.0,4.3,0.0
2026-09-13T07:45:00Z,20.1,100.0,21.0,100.0,100.0,0.0,0.0,0.0,4.6,0.0
2026-09-13T08:00:00Z,19.9,100.0,34.0,51.0,100.0,0.0,0.0,0.0,4.6,0.0
2026-09-13T08:15:00Z,19.8,100.0,30.0,61.0,100.0,0.0,0.0,0.0,5.2,0.0
2026-09-13T08:45:00Z,19.9,100.0,14.0,98.0,100.0,0.0,0.0,0.0,4.0,0.0
2026-09-13T09:00:00Z,19.9,100.0,16.0,100.0,100.0,0.0,0.0,0.0,1.0,0.0
2026-09-13T09:15:00Z,20.1,100.0,13.0,100.0,100.0,0.0,0.0,0.0,1.6,0.4
2026-09-13T09:30:00Z,20.5,98.0,54.0,98.0,84.0,0.0,0.0,0.0,3.4,0.0
2026-09-13T09:45:00Z,20.3,99.0,55.0,99.0,85.0,0.0,0.0,0.0,1.8,0.7
2026-09-13T10:00:00Z,20.1,100.0,59.0,100.0,87.0,0.0,0.0,0.0,0.8,0.9
2026-09-13T10:15:00Z,20.0,100.0,68.0,100.0,90.0,0.0,0.0,0.0,3.8,0.3
2026-09-13T10:30:00Z,20.0,100.0,86.0,100.0,95.0,0.0,0.0,0.0,4.2,0.1
2026-09-13T10:45:00Z,20.1,100.0,94.0,100.0,81.0,0.0,0.0,0.0,6.9,1.3
2026-09-13T11:00:00Z,20.2,100.0,100.0,100.0,81.0,1.0,1.0,0.0,5.9,0.4
2026-09-13T11:15:00Z,20.2,100.0,100.0,100.0,85.0,1.0,0.0,1.0,7.3,2.8
2026-09-13T11:45:00Z,20.1,100.0,100.0,81.0,99.0,54.0,0.0,54.0,7.9,0.0
2026-09-13T12:00:00Z,20.3,100.0,99.0,78.0,100.0,50.0,6.0,44.0,8.9,0.0
2026-09-13T12:15:00Z,20.2,100.0,87.0,81.0,100.0,87.0,0.0,87.0,10.8,0.0
2026-09-13T12:30:00Z,19.9,100.0,74.0,100.0,86.0,122.0,1.0,121.0,9.3,0.2
2026-09-13T12:45:00Z,20.1,100.0,60.0,100.0,95.0,161.0,0.0,170.0,10.0,0.1
2026-09-13T13:00:00Z,20.3,100.0,49.0,100.0,100.0,163.0,7.0,156.0,11.7,0.0
2026-09-13T13:15:00Z,19.5,98.0,45.0,97.0,100.0,275.0,4.0,271.0,9.3,0.1
2026-09-13T13:30:00Z,20.1,96.0,44.0,92.0,97.0,281.0,12.0,269.0,10.9,0.0
2026-09-13T13:45:00Z,20.6,99.0,96.0,85.0,100.0,330.0,2.0,328.0,7.2,0.0
2026-09-13T14:00:00Z,20.9,99.0,96.0,83.0,99.0,224.0,2.0,222.0,6.0,0.0
2026-09-13T14:15:00Z,19.0,99.0,97.0,85.0,83.0,14.0,0.0,14.0,13.6,0.1
2026-09-13T14:30:00Z,19.3,100.0,100.0,88.0,100.0,66.0,0.0,66.0,13.9,0.0
2026-09-13T14:45:00Z,19.6,100.0,100.0,95.0,100.0,34.0,0.0,34.0,14.0,0.0
2026-09-13T15:00:00Z,19.8,100.0,100.0,100.0,100.0,49.0,0.0,49.0,12.0,0.0
2026-09-13T15:15:00Z,20.3,100.0,100.0,100.0,100.0,92.0,0.0,92.0,9.0,0.0
2026-09-13T15:30:00Z,20.8,100.0,100.0,88.0,80.0,329.0,0.0,329.0,11.2,0.0
2026-09-13T15:45:00Z,20.9,100.0,100.0,82.0,69.0,150.0,0.0,150.0,10.1,0.0
2026-09-13T16:00:00Z,21.3,100.0,100.0,79.0,64.0,238.0,0.0,238.0,7.6,0.0
2026-09-13T16:15:00Z,21.5,100.0,88.0,82.0,71.0,197.0,0.0,197.0,6.1,0.0
2026-09-13T16:30:00Z,21.7,100.0,69.0,88.0,86.0,319.0,0.0,319.0,7.9,0.0
2026-09-13T16:45:00Z,21.8,100.0,57.0,100.0,100.0,374.0,0.0,374.0,8.7,0.0
2026-09-13T16:45:00Z,21.8,100.0,57.0,100.0,100.0,374.0,0.0,374.0,8.7,0.0
2026-09-13T17:00:00Z,21.7,100.0,44.0,100.0,100.0,471.0,14.0,457.0,6.9,0.0
2026-09-13T17:15:00Z,22.1,87.0,36.0,88.0,81.0,487.0,5.0,482.0,7.5,0.0
2026-09-13T17:30:00Z,22.5,69.0,29.0,70.0,51.0,627.0,112.0,515.0,3.6,0.0
2026-09-13T17:30:00Z,22.3,69.0,29.0,70.0,51.0,374.0,1.0,373.0,8.9,0.0
2026-09-13T17:45:00Z,22.7,100.0,65.0,100.0,6.0,490.0,21.0,469.0,4.4,0.0
2026-09-13T18:00:00Z,23.1,100.0,63.0,100.0,7.0,550.0,55.0,495.0,2.5,0.0
2026-09-13T18:15:00Z,23.6,93.0,62.0,80.0,20.0,630.0,246.0,384.0,6.5,0.0
2026-09-13T18:30:00Z,23.5,83.0,63.0,50.0,41.0,170.0,0.0,174.0,7.2,0.0
2026-09-13T18:45:00Z,23.7,73.0,64.0,20.0,61.0,540.0,45.0,495.0,9.0,0.0
2026-09-13T19:00:00Z,23.8,80.0,80.0,70.0,4.0,410.0,11.0,399.0,9.7,0.0
2026-09-13T19:15:00Z,24.0,70.0,74.0,54.0,0.0,480.0,58.0,422.0,9.4,0.0
2026-09-13T19:30:00Z,24.4,58.0,61.0,33.0,0.0,500.0,194.0,306.0,8.7,0.0
2026-09-13T19:45:00Z,24.6,46.0,48.0,14.0,0.0,530.0,320.0,210.0,5.9,0.0
2026-09-13T20:00:00Z,24.6,39.0,39.0,0.0,0.0,526.0,402.0,124.0,4.4,0.0
2026-09-13T20:15:00Z,24.7,23.0,23.0,0.0,0.0,454.0,283.0,171.0,3.9,0.0
2026-09-13T20:30:00Z,24.7,39.0,39.0,0.0,0.0,434.0,302.0,132.0,4.7,0.0
2026-09-13T21:00:00Z,25.1,48.0,48.0,0.0,0.0,293.0,110.0,183.0,3.4,0.0
2026-09-13T21:15:00Z,25.1,60.0,60.0,0.0,0.0,289.0,128.0,161.0,4.3,0.0
2026-09-13T21:30:00Z,25.4,76.0,76.0,0.0,0.0,252.0,136.0,116.0,3.4,0.0
2026-09-13T21:45:00Z,25.1,94.0,94.0,0.0,0.0,209.0,120.0,89.0,3.8,0.0
2026-09-13T22:00:00Z,24.8,100.0,100.0,0.0,0.0,123.0,21.0,102.0,4.8,0.0
2026-09-13T22:15:00Z,24.6,90.0,90.0,0.0,0.0,82.0,8.0,74.0,4.9,0.0
2026-09-13T22:30:00Z,24.6,71.0,71.0,0.0,0.0,75.0,30.0,45.0,5.6,0.0
2026-09-13T22:45:00Z,24.3,14.0,14.0,0.0,0.0,40.0,13.0,27.0,5.7,0.0
2026-09-13T23:00:00Z,23.8,7.0,7.0,0.0,0.0,11.0,8.0,3.0,7.0,0.0
2026-09-13T23:15:00Z,23.6,8.0,8.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0
2026-09-13T23:30:00Z,24.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2026-09-13T23:45:00Z,23.7,67.0,67.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0
2026-09-14T00:00:00Z,23.6,63.0,63.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
2026-09-14T00:15:00Z,23.3,53.0,53.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0
2026-09-14T00:30:00Z,23.1,38.0,38.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0
2026-09-14T00:45:00Z,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0
2026-09-14T00:45:00Z,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0
2026-09-14T00:45:00Z,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0
2026-09-14T01:00:00Z,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0
2026-09-14T01:00:00Z,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0
2026-09-14T01:15:00Z,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0
2026-09-14T01:30:00Z,22.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0
2026-09-14T01:45:00Z,22.6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0
2026-09-14T02:00:00Z,22.6,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0
2026-09-14T02:15:00Z,22.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0
2026-09-14T02:15:00Z,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0
