Timestamp,Temperature 2M,Cloud Cover,Cloud Cover Low,Cloud Cover Mid,Cloud Cover High,Shortwave Radiation,Direct Radiation,Diffuse Radiation,Wind Speed 10M,Precipitation
2026-09-09T04:00:00Z,18.9,71.0,0.0,0.0,71.0,0.0,0.0,0.0,1.8,0.0
2026-09-09T04:15:00Z,18.7,79.0,0.0,0.0,79.0,0.0,0.0,0.0,3.1,0.0
2026-09-09T04:30:00Z,18.7,11.0,0.0,0.0,14.0,0.0,0.0,0.0,3.8,0.0
2026-09-09T04:45:00Z,18.6,17.0,0.0,0.0,19.0,0.0,0.0,0.0,5.1,0.0
2026-09-09T05:00:00Z,18.5,22.0,0.0,0.0,22.0,0.0,0.0,0.0,5.3,0.0
2026-09-09T05:15:00Z,18.3,24.0,0.0,0.0,24.0,0.0,0.0,0.0,5.4,0.0
2026-09-09T05:30:00Z,18.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.6,0.0
2026-09-09T05:45:00Z,18.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.7,0.0
2026-09-09T06:00:00Z,17.9,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.9,0.0
2026-09-09T06:15:00Z,17.8,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.5,0.0
2026-09-09T06:30:00Z,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0
2026-09-09T06:45:00Z,17.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0
2026-09-09T07:00:00Z,17.7,8.0,0.0,0.0,8.0,0.0,0.0,0.0,1.8,0.0
2026-09-09T07:15:00Z,17.7,26.0,0.0,0.0,26.0,0.0,0.0,0.0,1.8,0.0
2026-09-09T07:30:00Z,17.5,53.0,1.0,0.0,53.0,0.0,0.0,0.0,1.1,0.0
2026-09-09T07:45:00Z,17.4,78.0,1.0,0.0,78.0,0.0,0.0,0.0,2.3,0.0
2026-09-09T08:00:00Z,17.3,6.0,1.0,0.0,6.0,0.0,0.0,0.0,3.9,0.0
2026-09-09T08:15:00Z,17.2,7.0,1.0,0.0,8.0,0.0,0.0,0.0,4.8,0.0
2026-09-09T08:30:00Z,17.1,21.0,3.0,0.0,27.0,0.0,0.0,0.0,4.7,0.0
2026-09-09T08:45:00Z,17.0,34.0,3.0,0.0,40.0,0.0,0.0,0.0,4.7,0.0
2026-09-09T09:00:00Z,16.9,47.0,3.0,0.0,47.0,0.0,0.0,0.0,4.7,0.0
2026-09-09T09:15:00Z,16.8,61.0,3.0,20.0,41.0,0.0,0.0,0.0,5.1,0.0
2026-09-09T09:30:00Z,16.8,67.0,3.0,50.0,16.0,0.0,0.0,0.0,5.5,0.0
2026-09-09T09:45:00Z,16.7,86.0,2.0,80.0,7.0,0.0,0.0,0.0,4.7,0.0
2026-09-09T10:00:00Z,16.6,100.0,2.0,100.0,7.0,0.0,0.0,0.0,3.3,0.0
2026-09-09T10:15:00Z,16.6,100.0,2.0,100.0,23.0,0.0,0.0,0.0,3.3,0.0
2026-09-09T10:30:00Z,16.5,22.0,2.0,22.0,13.0,0.0,0.0,0.0,2.4,0.0
2026-09-09T10:45:00Z,16.4,31.0,2.0,31.0,18.0,0.0,0.0,0.0,3.4,0.0
2026-09-09T11:00:00Z,16.5,40.0,3.0,40.0,20.0,18.0,1.0,17.0,4.7,0.0
2026-09-09T11:15:00Z,16.8,49.0,3.0,50.0,18.0,50.0,10.0,40.0,4.4,0.0
2026-09-09T11:30:00Z,17.5,7.0,0.0,8.0,8.0,88.0,38.0,50.0,1.8,0.0
2026-09-09T11:45:00Z,18.0,6.0,0.0,6.0,6.0,130.0,64.0,66.0,1.3,0.0
2026-09-09T12:00:00Z,18.6,5.0,0.0,5.0,5.0,175.0,98.0,77.0,1.8,0.0
2026-09-09T12:15:00Z,19.1,3.0,0.0,3.0,4.0,222.0,137.0,85.0,1.3,0.0
2026-09-09T12:30:00Z,19.5,1.0,1.0,1.0,2.0,260.0,113.0,147.0,2.1,0.0
2026-09-09T12:45:00Z,20.2,87.0,1.0,87.0,1.0,312.0,181.0,131.0,2.5,0.0
2026-09-09T13:00:00Z,20.3,100.0,1.0,100.0,0.0,191.0,0.0,191.0,2.3,0.0
2026-09-09T13:15:00Z,20.9,87.0,2.0,87.0,0.0,313.0,0.0,324.0,5.2,0.0
2026-09-09T13:30:00Z,21.2,58.0,2.0,58.0,0.0,234.0,0.0,234.0,6.3,0.0
2026-09-09T13:45:00Z,21.6,26.0,3.0,26.0,0.0,304.0,0.0,304.0,7.1,0.0
2026-09-09T14:00:00Z,22.3,83.0,0.0,83.0,0.0,344.0,0.0,353.0,7.6,0.0
2026-09-09T14:15:00Z,22.9,79.0,2.0,79.0,0.0,492.0,138.0,354.0,8.3,0.0
2026-09-09T14:30:00Z,22.8,100.0,4.0,100.0,0.0,286.0,0.0,286.0,5.2,0.0
2026-09-09T14:45:00Z,22.9,100.0,5.0,100.0,0.0,282.0,7.0,275.0,5.7,0.0
2026-09-09T15:00:00Z,23.7,100.0,6.0,100.0,0.0,560.0,38.0,522.0,7.3,0.0
2026-09-09T15:15:00Z,23.9,85.0,7.0,85.0,0.0,400.0,0.0,400.0,7.4,0.0
2026-09-09T15:30:00Z,24.2,80.0,12.0,80.0,0.0,316.0,1.0,315.0,8.6,0.0
2026-09-09T15:45:00Z,24.4,69.0,8.0,69.0,0.0,319.0,2.0,317.0,9.7,0.0
2026-09-09T16:00:00Z,25.2,64.0,5.0,64.0,2.0,618.0,40.0,578.0,12.2,0.0
2026-09-09T16:15:00Z,25.6,69.0,4.0,69.0,10.0,682.0,196.0,486.0,13.0,0.0
2026-09-09T16:30:00Z,26.7,80.0,3.0,80.0,22.0,568.0,3.0,565.0,12.3,0.0
2026-09-09T16:45:00Z,26.9,92.0,3.0,92.0,38.0,536.0,1.0,535.0,12.6,0.0
2026-09-09T17:00:00Z,27.0,100.0,3.0,100.0,50.0,418.0,0.0,418.0,14.0,0.0
2026-09-09T17:15:00Z,26.8,100.0,2.0,100.0,59.0,274.0,0.0,274.0,13.7,0.0
2026-09-09T17:30:00Z,28.9,51.0,10.0,51.0,21.0,666.0,162.0,504.0,16.6,0.0
2026-09-09T17:45:00Z,28.8,71.0,6.0,71.0,22.0,510.0,0.0,512.0,16.9,0.0
2026-09-09T18:00:00Z,28.5,86.0,3.0,86.0,21.0,320.0,0.0,321.0,16.6,0.0
2026-09-09T18:15:00Z,29.3,94.0,1.0,94.0,18.0,630.0,152.0,478.0,17.1,0.0
2026-09-09T18:30:00Z,29.9,97.0,0.0,97.0,13.0,630.0,456.0,174.0,19.5,0.0
2026-09-09T18:45:00Z,29.9,72.0,6.0,72.0,11.0,670.0,391.0,279.0,19.2,0.0
2026-09-09T19:00:00Z,29.4,88.0,12.0,88.0,15.0,350.0,0.0,350.0,18.4,0.0
2026-09-09T19:15:00Z,29.4,97.0,32.0,97.0,24.0,470.0,16.0,454.0,17.7,0.0
2026-09-09T19:30:00Z,29.8,100.0,62.0,100.0,37.0,450.0,184.0,266.0,18.5,0.0
2026-09-09T19:45:00Z,29.9,100.0,89.0,100.0,48.0,440.0,214.0,226.0,18.2,0.0
2026-09-09T20:00:00Z,30.2,16.0,16.0,2.0,8.0,524.0,388.0,136.0,19.3,0.0
2026-09-09T20:15:00Z,30.3,17.0,21.0,4.0,8.0,488.0,352.0,136.0,19.7,0.0
2026-09-09T20:30:00Z,28.0,27.0,28.0,19.0,7.0,116.0,0.0,116.0,13.4,0.0
2026-09-09T20:45:00Z,28.4,100.0,59.0,100.0,5.0,325.0,72.0,253.0,16.1,0.0
2026-09-09T21:00:00Z,27.8,100.0,43.0,100.0,5.0,109.0,0.0,109.0,13.1,0.0
2026-09-09T21:15:00Z,27.7,85.0,31.0,87.0,3.0,122.0,0.0,122.0,12.2,0.0
2026-09-09T21:30:00Z,27.8,76.0,33.0,76.0,25.0,187.0,17.0,170.0,12.8,0.0
2026-09-09T21:45:00Z,27.9,60.0,13.0,61.0,11.0,199.0,5.0,194.0,12.7,0.0
2026-09-09T22:00:00Z,27.5,47.0,0.0,47.0,2.0,158.0,49.0,109.0,12.1,0.0
2026-09-09T22:15:00Z,27.2,36.0,0.0,34.0,1.0,115.0,47.0,68.0,10.4,0.0
2026-09-09T22:30:00Z,26.6,88.0,0.0,54.0,37.0,65.0,12.0,53.0,8.9,0.0
2026-09-09T22:45:00Z,25.1,78.0,0.0,26.0,58.0,46.0,2.0,44.0,6.0,0.0
2026-09-09T23:00:00Z,24.6,67.0,0.0,6.0,67.0,22.0,4.0,18.0,7.2,0.0
2026-09-09T23:15:00Z,24.2,51.0,0.0,0.0,58.0,2.0,2.0,0.0,8.0,0.0
2026-09-09T23:30:00Z,24.3,3.0,0.0,0.0,9.0,0.0,0.0,0.0,10.4,0.0
2026-09-09T23:45:00Z,23.8,3.0,0.0,0.0,5.0,0.0,0.0,0.0,11.2,0.0
2026-09-10T00:00:00Z,23.5,6.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,0.0
2026-09-10T00:15:00Z,23.1,14.0,0.0,0.0,14.0,0.0,0.0,0.0,12.6,0.0
2026-09-10T00:30:00Z,22.8,27.0,0.0,0.0,27.0,0.0,0.0,0.0,13.3,0.0
2026-09-10T00:45:00Z,23.4,38.0,0.0,0.0,39.0,0.0,0.0,0.0,14.4,0.0
2026-09-10T01:00:00Z,23.2,51.0,0.0,0.0,51.0,0.0,0.0,0.0,15.8,0.0
2026-09-10T01:15:00Z,23.4,64.0,0.0,0.0,64.0,0.0,0.0,0.0,13.4,0.0
2026-09-10T01:30:00Z,23.2,78.0,0.0,0.0,78.0,0.0,0.0,0.0,13.8,0.0
2026-09-10T01:45:00Z,23.1,91.0,0.0,0.0,91.0,0.0,0.0,0.0,15.4,0.0
2026-09-10T02:00:00Z,22.9,100.0,0.0,0.0,100.0,0.0,0.0,0.0,15.9,0.0
2026-09-10T02:15:00Z,22.9,2.0,0.0,0.0,2.0,0.0,0.0,0.0,15.2,0.0
2026-09-10T02:30:00Z,22.8,40.0,0.0,0.0,40.0,0.0,0.0,0.0,14.4,0.0
2026-09-10T02:45:00Z,22.7,21.0,0.0,0.0,21.0,0.0,0.0,0.0,13.8,0.0
2026-09-10T03:00:00Z,22.6,8.0,0.0,0.0,8.0,0.0,0.0,0.0,14.2,0.0
2026-09-10T03:15:00Z,22.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.6,0.0
2026-09-10T03:30:00Z,22.6,2.0,7.0,0.0,5.0,0.0,0.0,0.0,14.5,0.0
2026-09-10T03:45:00Z,22.5,0.0,7.0,0.0,4.0,0.0,0.0,0.0,15.7,0.0
