Timestamp (UTC),Inverter Serial,Port Number,DC Power (W),DC Voltage (V),Daily Energy (Wh)
2026-09-08T12:50:00Z,1420b03145c2,1,110.0,44.3,48.0
2026-09-08T12:50:00Z,1420b03145c2,3,110.0,43.7,55.0
2026-09-08T12:50:00Z,1420b03145c2,4,110.0,44.0,70.0
2026-09-08T12:50:00Z,1420b0314618,1,22.0,43.2,27.0
2026-09-08T12:50:00Z,1420b0314618,2,21.0,42.0,26.0
2026-09-08T12:50:00Z,1420b0314618,3,22.0,43.4,27.0
2026-09-08T12:50:00Z,1420b0314618,4,28.0,46.0,28.0
2026-09-08T12:50:00Z,1420b03146bb,1,116.0,44.8,45.0
2026-09-08T12:50:00Z,1420b03146bb,2,113.0,44.2,50.0
2026-09-08T12:50:00Z,1420b03146bb,3,0.0,5.8,0.0
2026-09-08T12:50:00Z,1420b03146bb,4,115.0,44.4,44.0
2026-09-08T12:50:00Z,1420b03146fc,1,18.0,42.3,22.0
2026-09-08T12:50:00Z,1420b03146fc,2,18.0,42.2,21.0
2026-09-08T12:50:00Z,1420b03146fc,3,15.0,42.4,18.0
2026-09-08T12:50:00Z,1420b03146fc,4,15.0,41.5,18.0
2026-09-08T12:50:00Z,1420b0314cf5,1,100.0,44.4,32.0
2026-09-08T12:50:00Z,1420b0314cf5,2,98.0,44.4,34.0
2026-09-08T12:50:00Z,1420b0314cf5,3,100.0,44.5,32.0
2026-09-08T12:50:00Z,1420b0314cf5,4,100.0,44.3,36.0
2026-09-08T12:50:00Z,1420b0314d19,1,109.0,46.3,43.0
2026-09-08T12:50:00Z,1420b0314d19,2,113.0,45.7,51.0
2026-09-08T12:50:00Z,1420b0314d19,3,0.0,2.6,0.0
2026-09-08T12:50:00Z,1420b0314d19,4,0.0,3.0,0.0
2026-09-08T12:50:00Z,1420b0314d25,1,37.0,47.0,22.0
2026-09-08T12:50:00Z,1420b0314d25,2,19.0,43.2,22.0
2026-09-08T12:50:00Z,1420b0314d25,3,97.0,44.2,29.0
2026-09-08T12:50:00Z,1420b0314d25,4,99.0,44.1,32.0
2026-09-08T12:50:00Z,1420b0314df9,1,111.0,45.2,42.0
2026-09-08T12:50:00Z,1420b0314df9,2,112.0,44.0,59.0
2026-09-08T12:50:00Z,1420b0314df9,3,113.0,44.6,40.0
2026-09-08T12:50:00Z,1420b0314df9,4,112.0,44.8,42.0
2026-09-08T12:50:00Z,1420b0314f85,1,24.0,45.0,27.0
2026-09-08T12:50:00Z,1420b0314f85,2,22.0,43.9,26.0
2026-09-08T12:50:00Z,1420b0314f85,3,24.0,45.0,27.0
2026-09-08T12:50:00Z,1420b0314f85,4,23.0,44.6,26.0
2026-09-08T12:50:00Z,1420b03150a1,1,68.0,47.3,20.0
2026-09-08T12:50:00Z,1420b03150a1,2,36.0,18.5,15.0
2026-09-08T12:50:00Z,1420b03150a1,3,96.0,47.3,31.0
2026-09-08T12:50:00Z,1420b03150a1,4,100.0,47.1,32.0
2026-09-08T12:50:00Z,1420b0315189,1,24.0,44.7,27.0
2026-09-08T12:50:00Z,1420b0315189,2,24.0,44.8,26.0
2026-09-08T12:50:00Z,1420b0315189,3,23.0,44.5,27.0
2026-09-08T12:50:00Z,1420b0315189,4,26.0,48.4,28.0
2026-09-08T12:50:00Z,1420b03153ec,1,37.0,47.2,26.0
2026-09-08T12:50:00Z,1420b03153ec,2,20.0,42.1,26.0
2026-09-08T12:50:00Z,1420b03153ec,3,20.0,42.1,26.0
2026-09-08T12:50:00Z,1420b03153ec,4,20.0,42.2,26.0
2026-09-08T13:00:00Z,1420b03145c2,1,126.0,43.8,66.0
2026-09-08T13:00:00Z,1420b03145c2,3,128.0,43.5,74.0
2026-09-08T13:00:00Z,1420b03145c2,4,127.0,43.7,89.0
2026-09-08T13:00:00Z,1420b0314618,1,55.0,48.8,32.0
2026-09-08T13:00:00Z,1420b0314618,2,27.0,46.3,29.0
2026-09-08T13:00:00Z,1420b0314618,3,122.0,48.1,36.0
2026-09-08T13:00:00Z,1420b0314618,4,156.0,44.8,43.0
2026-09-08T13:00:00Z,1420b03146bb,1,132.0,44.2,64.0
2026-09-08T13:00:00Z,1420b03146bb,2,130.0,43.9,69.0
2026-09-08T13:00:00Z,1420b03146bb,3,0.0,5.9,0.0
2026-09-08T13:00:00Z,1420b03146bb,4,131.0,44.0,63.0
2026-09-08T13:00:00Z,1420b03146fc,1,20.0,42.5,25.0
2026-09-08T13:00:00Z,1420b03146fc,2,19.0,42.0,24.0
2026-09-08T13:00:00Z,1420b03146fc,3,16.0,42.7,21.0
2026-09-08T13:00:00Z,1420b03146fc,4,16.0,41.3,20.0
2026-09-08T13:00:00Z,1420b0314cf5,1,115.0,44.3,48.0
2026-09-08T13:00:00Z,1420b0314cf5,2,115.0,44.0,51.0
2026-09-08T13:00:00Z,1420b0314cf5,3,116.0,44.1,49.0
2026-09-08T13:00:00Z,1420b0314cf5,4,116.0,44.1,52.0
2026-09-08T13:00:00Z,1420b0314d19,1,138.0,44.1,63.0
2026-09-08T13:00:00Z,1420b0314d19,2,138.0,44.1,71.0
2026-09-08T13:00:00Z,1420b0314d19,3,0.0,4.1,0.0
2026-09-08T13:00:00Z,1420b0314d19,4,0.0,4.2,0.0
2026-09-08T13:00:00Z,1420b0314d25,1,73.0,45.5,33.0
2026-09-08T13:00:00Z,1420b0314d25,2,64.0,46.2,26.0
2026-09-08T13:00:00Z,1420b0314d25,3,112.0,44.1,45.0
2026-09-08T13:00:00Z,1420b0314d25,4,114.0,44.0,49.0
2026-09-08T13:00:00Z,1420b0314df9,1,127.0,44.4,60.0
2026-09-08T13:00:00Z,1420b0314df9,2,129.0,43.7,78.0
2026-09-08T13:00:00Z,1420b0314df9,3,129.0,44.2,59.0
2026-09-08T13:00:00Z,1420b0314df9,4,129.0,44.2,61.0
2026-09-08T13:00:00Z,1420b0314f85,1,24.0,44.3,31.0
2026-09-08T13:00:00Z,1420b0314f85,2,25.0,44.6,30.0
2026-09-08T13:00:00Z,1420b0314f85,3,24.0,45.0,31.0
2026-09-08T13:00:00Z,1420b0314f85,4,30.0,48.3,31.0
2026-09-08T13:00:00Z,1420b03150a1,1,172.0,50.2,40.0
2026-09-08T13:00:00Z,1420b03150a1,2,26.0,15.9,20.0
2026-09-08T13:00:00Z,1420b03150a1,3,154.0,44.7,54.0
2026-09-08T13:00:00Z,1420b03150a1,4,156.0,44.5,54.0
2026-09-08T13:00:00Z,1420b0315189,1,118.0,47.1,35.0
2026-09-08T13:00:00Z,1420b0315189,2,88.0,47.0,34.0
