Timestamp (UTC),Net Grid Power (W),Phase A Voltage (V)
2026-07-19T03:03:21.935041Z,16718,246.5
2026-07-19T03:03:23.020115Z,16457,246.4
2026-07-19T03:03:24.105608Z,16463,246.5
2026-07-19T03:03:25.190257Z,16343,246.5
2026-07-19T03:03:26.277536Z,16531,246.5
2026-07-19T03:03:27.363789Z,16464,246.5
2026-07-19T03:03:28.449663Z,16499,246.5
2026-07-19T03:03:29.534320Z,16506,246.5
2026-07-19T03:03:30.624236Z,16547,246.4
2026-07-19T03:03:31.724188Z,16570,246.5
2026-07-19T03:03:32.810255Z,17095,246.4
2026-07-19T03:03:33.896350Z,16620,246.4
2026-07-19T03:03:34.996637Z,16526,246.4
2026-07-19T03:03:36.066684Z,16553,246.4
2026-07-19T03:03:37.136377Z,16647,246.4
2026-07-19T03:03:38.206796Z,16642,246.4
2026-07-19T03:03:39.293446Z,16512,246.4
2026-07-19T03:03:40.364029Z,16551,246.4
2026-07-19T03:03:41.450217Z,16552,246.4
2026-07-19T03:03:42.536975Z,16604,246.4
2026-07-19T03:03:43.622942Z,16607,246.4
2026-07-19T03:03:44.709338Z,16604,246.4
2026-07-19T03:03:45.794885Z,16729,246.4
2026-07-19T03:03:46.879865Z,16859,246.4
2026-07-19T03:03:47.970516Z,16881,246.4
2026-07-19T03:03:49.068030Z,16913,246.4
2026-07-19T03:03:50.154633Z,16787,246.4
2026-07-19T03:03:51.244446Z,16894,246.4
2026-07-19T03:03:52.347751Z,16940,246.4
2026-07-19T03:03:53.430557Z,16958,246.4
2026-07-19T03:03:54.517549Z,16970,246.4
2026-07-19T03:03:55.601782Z,16976,246.4
2026-07-19T03:03:56.686140Z,16994,246.4
2026-07-19T03:03:57.772391Z,17132,246.4
2026-07-19T03:03:58.842361Z,16994,246.4
2026-07-19T03:03:59.933031Z,17015,246.4
2026-07-19T03:04:01.016264Z,17037,246.4
2026-07-19T03:04:02.102924Z,17051,246.4
2026-07-19T03:04:03.189139Z,17021,246.4
2026-07-19T03:04:04.275479Z,16997,246.4
2026-07-19T03:04:05.345489Z,17122,246.4
2026-07-19T03:04:06.431088Z,17124,246.4
2026-07-19T03:04:07.516522Z,17142,246.4
2026-07-19T03:04:08.603533Z,17090,246.4
2026-07-19T03:04:09.688667Z,17064,246.4
2026-07-19T03:04:10.758243Z,17024,246.4
2026-07-19T03:04:11.831075Z,17012,246.4
2026-07-19T03:04:12.897466Z,17021,246.4
2026-07-19T03:04:13.970470Z,17024,246.4
2026-07-19T03:04:15.055694Z,17050,246.3
2026-07-19T03:04:16.141147Z,17001,246.4
2026-07-19T03:04:17.226667Z,16926,246.4
2026-07-19T03:04:18.296351Z,16977,246.4
2026-07-19T03:04:19.383455Z,16923,246.4
2026-07-19T03:04:20.469213Z,16912,246.4
2026-07-19T03:04:21.556434Z,16923,246.4
2026-07-19T03:04:22.641110Z,16935,246.4
2026-07-19T03:04:23.711871Z,16886,246.4
2026-07-19T03:04:24.797982Z,17002,246.4
2026-07-19T03:04:25.885004Z,16879,246.4
2026-07-19T03:04:26.986267Z,16924,246.4
2026-07-19T03:04:28.070227Z,16915,246.4
2026-07-19T03:04:29.156522Z,16893,246.4
2026-07-19T03:04:30.247262Z,16872,246.4
2026-07-19T03:04:31.312961Z,17045,246.4
2026-07-19T03:04:32.399747Z,16878,246.4
2026-07-19T03:04:33.473124Z,16952,246.4
2026-07-19T03:04:34.555511Z,16926,246.4
2026-07-19T03:04:35.628609Z,16897,246.4
2026-07-19T03:04:36.715160Z,16875,246.4
2026-07-19T03:04:37.800585Z,16930,246.4
2026-07-19T03:04:38.885413Z,16872,246.4
2026-07-19T03:04:39.987939Z,17060,246.4
2026-07-19T03:04:41.088933Z,17046,246.4
2026-07-19T03:04:42.191455Z,16930,246.4
2026-07-19T03:04:43.278101Z,16891,246.4
2026-07-19T03:04:44.362386Z,16833,246.4
2026-07-19T03:04:45.431782Z,16889,246.4
2026-07-19T03:04:46.506062Z,16876,246.4
2026-07-19T03:04:47.576742Z,16893,246.4
2026-07-19T03:04:48.661019Z,16850,246.4
2026-07-19T03:04:49.745074Z,16910,246.4
2026-07-19T03:04:50.834827Z,16875,246.4
2026-07-19T03:04:51.920822Z,16991,246.4
2026-07-19T03:04:52.990999Z,16884,246.4
2026-07-19T03:04:54.076442Z,16847,246.4
2026-07-19T03:04:55.161760Z,16854,246.4
2026-07-19T03:04:56.248292Z,16866,246.4
