Timestamp (UTC),Inverter Serial,Port Number,DC Power (W),DC Voltage (V),Daily Energy (Wh)
2026-09-13T17:10:00Z,1420b0314df9,1,88.0,43.0,120.0
2026-09-13T17:10:00Z,1420b0314df9,2,85.0,42.9,116.0
2026-09-13T17:10:00Z,1420b0314df9,3,86.0,42.8,117.0
2026-09-13T17:10:00Z,1420b0314df9,4,84.0,42.9,114.0
2026-09-13T17:10:00Z,1420b0314f85,1,93.0,42.9,125.0
2026-09-13T17:10:00Z,1420b0314f85,2,92.0,42.8,124.0
2026-09-13T17:10:00Z,1420b0314f85,3,93.0,42.9,125.0
2026-09-13T17:10:00Z,1420b0314f85,4,93.0,43.0,124.0
2026-09-13T17:10:00Z,1420b03150a1,1,13.0,15.9,75.0
2026-09-13T17:10:00Z,1420b03150a1,2,113.0,49.2,85.0
2026-09-13T17:10:00Z,1420b03150a1,3,96.0,43.1,128.0
2026-09-13T17:10:00Z,1420b03150a1,4,97.0,43.0,129.0
2026-09-13T17:10:00Z,1420b0315189,1,96.0,43.1,129.0
2026-09-13T17:10:00Z,1420b0315189,2,95.0,43.1,128.0
2026-09-13T17:10:00Z,1420b0315189,3,96.0,42.9,128.0
2026-09-13T17:10:00Z,1420b0315189,4,97.0,43.1,129.0
2026-09-13T17:10:00Z,1420b03153ec,1,95.0,43.0,128.0
2026-09-13T17:10:00Z,1420b03153ec,2,95.0,43.0,129.0
2026-09-13T17:10:00Z,1420b03153ec,3,96.0,43.2,129.0
2026-09-13T17:10:00Z,1420b03153ec,4,96.0,43.1,129.0
2026-09-13T17:20:00Z,1420b03145c2,1,81.0,42.8,115.0
2026-09-13T17:20:00Z,1420b03145c2,3,81.0,42.9,114.0
2026-09-13T17:20:00Z,1420b03145c2,4,78.0,42.9,111.0
2026-09-13T17:20:00Z,1420b0314618,1,95.0,42.9,132.0
2026-09-13T17:20:00Z,1420b0314618,2,93.0,42.8,129.0
2026-09-13T17:20:00Z,1420b0314618,3,95.0,43.1,131.0
2026-09-13T17:20:00Z,1420b0314618,4,95.0,43.0,131.0
2026-09-13T17:20:00Z,1420b03146bb,1,88.0,43.8,121.0
2026-09-13T17:20:00Z,1420b03146bb,2,85.0,43.7,118.0
2026-09-13T17:20:00Z,1420b03146bb,3,0.0,6.0,0.0
2026-09-13T17:20:00Z,1420b03146bb,4,88.0,43.1,121.0
2026-09-13T17:20:00Z,1420b03146fc,1,82.0,42.9,114.0
2026-09-13T17:20:00Z,1420b03146fc,2,80.0,42.9,111.0
2026-09-13T17:20:00Z,1420b03146fc,3,73.0,43.7,105.0
2026-09-13T17:20:00Z,1420b03146fc,4,71.0,43.1,102.0
2026-09-13T17:20:00Z,1420b0314cf5,1,84.0,43.0,116.0
2026-09-13T17:20:00Z,1420b0314cf5,2,83.0,42.8,114.0
2026-09-13T17:20:00Z,1420b0314cf5,3,85.0,42.9,116.0
2026-09-13T17:20:00Z,1420b0314cf5,4,84.0,42.9,115.0
2026-09-13T17:20:00Z,1420b0314d19,1,90.0,43.3,125.0
2026-09-13T17:20:00Z,1420b0314d19,2,88.0,43.2,123.0
2026-09-13T17:20:00Z,1420b0314d19,3,0.0,2.9,0.0
2026-09-13T17:20:00Z,1420b0314d19,4,0.0,3.1,0.0
2026-09-13T17:20:00Z,1420b0314d25,1,83.0,42.9,114.0
2026-09-13T17:20:00Z,1420b0314d25,2,82.0,42.9,113.0
2026-09-13T17:20:00Z,1420b0314d25,3,84.0,43.0,115.0
2026-09-13T17:20:00Z,1420b0314d25,4,83.0,42.7,114.0
2026-09-13T17:20:00Z,1420b0314df9,1,87.0,43.0,123.0
2026-09-13T17:20:00Z,1420b0314df9,2,83.0,42.9,118.0
2026-09-13T17:20:00Z,1420b0314df9,3,84.0,42.9,119.0
2026-09-13T17:20:00Z,1420b0314df9,4,83.0,42.9,116.0
2026-09-13T17:20:00Z,1420b0314f85,1,91.0,43.0,127.0
2026-09-13T17:20:00Z,1420b0314f85,2,90.0,42.8,126.0
2026-09-13T17:20:00Z,1420b0314f85,3,92.0,42.9,127.0
2026-09-13T17:20:00Z,1420b0314f85,4,91.0,43.0,126.0
2026-09-13T17:20:00Z,1420b03150a1,1,12.0,16.0,75.0
2026-09-13T17:20:00Z,1420b03150a1,2,112.0,49.2,88.0
2026-09-13T17:20:00Z,1420b03150a1,3,95.0,43.1,130.0
2026-09-13T17:20:00Z,1420b03150a1,4,96.0,43.0,131.0
2026-09-13T17:20:00Z,1420b0315189,1,94.0,43.2,131.0
2026-09-13T17:20:00Z,1420b0315189,2,94.0,43.0,130.0
2026-09-13T17:20:00Z,1420b0315189,3,94.0,42.9,131.0
2026-09-13T17:20:00Z,1420b0315189,4,95.0,43.1,132.0
2026-09-13T17:20:00Z,1420b03153ec,1,93.0,43.0,130.0
2026-09-13T17:20:00Z,1420b03153ec,2,93.0,43.0,131.0
2026-09-13T17:20:00Z,1420b03153ec,3,94.0,43.3,132.0
2026-09-13T17:20:00Z,1420b03153ec,4,94.0,43.1,132.0
2026-09-13T17:20:00Z,1420b03145c2,1,76.0,42.7,125.0
2026-09-13T17:20:00Z,1420b03145c2,3,76.0,42.8,124.0
2026-09-13T17:20:00Z,1420b03145c2,4,74.0,42.7,121.0
2026-09-13T17:20:00Z,1420b0314618,1,84.0,42.7,143.0
2026-09-13T17:20:00Z,1420b0314618,2,82.0,42.6,140.0
2026-09-13T17:20:00Z,1420b0314618,3,84.0,42.9,142.0
2026-09-13T17:20:00Z,1420b0314618,4,84.0,42.9,142.0
2026-09-13T17:20:00Z,1420b03146bb,1,82.0,42.5,132.0
2026-09-13T17:20:00Z,1420b03146bb,2,80.0,42.7,129.0
2026-09-13T17:20:00Z,1420b03146bb,3,0.0,6.1,0.0
2026-09-13T17:20:00Z,1420b03146bb,4,82.0,42.7,132.0
2026-09-13T17:20:00Z,1420b03146fc,1,76.0,42.8,124.0
2026-09-13T17:20:00Z,1420b03146fc,2,74.0,42.8,121.0
2026-09-13T17:20:00Z,1420b03146fc,3,71.0,43.3,114.0
2026-09-13T17:20:00Z,1420b03146fc,4,69.0,42.7,111.0
2026-09-13T17:20:00Z,1420b0314cf5,1,78.0,42.9,126.0
2026-09-13T17:20:00Z,1420b0314cf5,2,77.0,42.7,124.0
2026-09-13T17:20:00Z,1420b0314cf5,3,78.0,42.7,126.0
2026-09-13T17:20:00Z,1420b0314cf5,4,77.0,42.7,125.0
2026-09-13T17:20:00Z,1420b0314d19,1,84.0,43.3,136.0
2026-09-13T17:20:00Z,1420b0314d19,2,82.0,43.2,134.0
2026-09-13T17:20:00Z,1420b0314d19,3,0.0,3.0,0.0
2026-09-13T17:20:00Z,1420b0314d19,4,0.0,3.2,0.0
2026-09-13T17:20:00Z,1420b0314d25,1,77.0,42.9,124.0
2026-09-13T17:20:00Z,1420b0314d25,2,76.0,42.9,123.0
2026-09-13T17:20:00Z,1420b0314d25,3,78.0,42.9,126.0
2026-09-13T17:20:00Z,1420b0314d25,4,77.0,42.6,124.0
2026-09-13T17:20:00Z,1420b0314df9,1,82.0,42.9,133.0
2026-09-13T17:20:00Z,1420b0314df9,2,79.0,42.8,128.0
2026-09-13T17:20:00Z,1420b0314df9,3,80.0,42.7,129.0
2026-09-13T17:20:00Z,1420b0314df9,4,79.0,42.7,127.0
